time;status;gx;gy;gz;ax;ay;az
2022-12-01T08:35:49.225;77;0.17309028;0.11609158;0.74035373;5.42022705;5.01388550;7.89932251
2022-12-01T08:35:49.235;77;0.15748698;0.17299262;0.61095920;5.44586182;5.06958008;7.96829224
2022-12-01T08:35:49.245;77;0.14861111;0.22558594;0.46948785;5.48278809;5.07461548;8.00857544
2022-12-01T08:35:49.255;77;0.15436198;0.27940538;0.31770833;5.49667358;5.05737305;8.06671143
2022-12-01T08:35:49.265;77;0.16822917;0.33782552;0.15928819;5.55282593;5.06790161;8.12225342
2022-12-01T08:35:49.275;77;0.19481337;0.40134549;-0.00613064;5.57449341;5.12069702;8.19351196
2022-12-01T08:35:49.285;77;0.22765842;0.47017144;-0.17228733;5.56793213;5.18829346;8.25561523
2022-12-01T08:35:49.295;77;0.27176649;0.54763455;-0.33419054;5.49880981;5.23132324;8.28247070
2022-12-01T08:35:49.305;77;0.31615668;0.62540148;-0.48306207;5.45349121;5.23712158;8.27499390
2022-12-01T08:35:49.315;77;0.37240668;0.69820964;-0.64511719;5.38833618;5.15914917;8.25241089
2022-12-01T08:35:49.325;77;0.41232639;0.75876736;-0.79267578;5.29388428;5.14648438;8.16696167
2022-12-01T08:35:49.335;77;0.45171441;0.80743273;-0.93885634;5.14511108;5.17120361;8.13888550
2022-12-01T08:35:49.345;77;0.46997613;0.84790582;-1.06570095;4.98031616;5.18005371;8.07510376
2022-12-01T08:35:49.355;77;0.46049262;0.86597222;-1.17842882;4.79736328;5.27145386;7.99545288
2022-12-01T08:35:49.365;77;0.44398872;0.86794705;-1.27953559;4.58770752;5.25924683;7.89550781
2022-12-01T08:35:49.375;77;0.42221137;0.86067708;-1.36110026;4.43313599;5.26428223;7.81845093
2022-12-01T08:35:49.385;77;0.40511068;0.85043403;-1.43467882;4.27963257;5.28335571;7.74688721
2022-12-01T08:35:49.395;77;0.39023438;0.83462457;-1.49756944;4.11193848;5.26458740;7.69973755
2022-12-01T08:35:49.405;77;0.37348090;0.81015625;-1.54647352;3.89404297;5.27053833;7.69058228
2022-12-01T08:35:49.415;77;0.35481771;0.78192274;-1.58521050;3.69171143;5.32409668;7.73651123
